"Data/Hora";"Login";"Perfil";"Tipo";"Descrição";"Detalhes"
"19/06/2026, 09:04:17";"litoral";"Litoral";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-18";""
"19/06/2026, 09:00:43";"portoex.admin";"🔑 Administrador";"vaga";"Vaga encerrada: 19/06/2026";""
"19/06/2026, 09:00:40";"portoex.admin";"🔑 Administrador";"vaga";"Vaga encerrada: 19/06/2026";""
"19/06/2026, 08:17:33";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-18";"Ok"
"18/06/2026, 19:22:01";"portoex.logistica";"🚚 Logística";"vaga";"Mural publicado: 19/06/2026";""
"18/06/2026, 19:21:40";"portoex.logistica";"🚚 Logística";"vaga";"Mural publicado: 19/06/2026";""
"18/06/2026, 19:14:53";"portoex.logistica";"🚚 Logística";"vaga";"Mural publicado: 18/06/2026";""
"18/06/2026, 17:58:33";"litoral";"Litoral";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-17";""
"18/06/2026, 17:01:58";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-17";"Ok"
"18/06/2026, 16:59:46";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-16";"Ok"
"18/06/2026, 16:36:12";"litoral";"Litoral";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-16";""
"18/06/2026, 16:28:15";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-15";""
"18/06/2026, 16:28:00";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-12";""
"18/06/2026, 16:27:56";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-11";""
"18/06/2026, 16:27:52";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-10";""
"18/06/2026, 16:27:47";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-09";""
"18/06/2026, 16:27:42";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-08";""
"18/06/2026, 16:27:38";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-06";""
"18/06/2026, 16:27:29";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-05";""
"18/06/2026, 16:27:25";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-04";""
"18/06/2026, 16:27:22";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-03";""
"18/06/2026, 16:27:18";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-01-21";""
"18/06/2026, 16:27:15";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-01-19";""
"18/06/2026, 16:27:11";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-01-16";""
"18/06/2026, 16:27:08";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-01-15";""
"18/06/2026, 16:27:06";"RP";"RP";"CONFIRMACAO_DIA";"Confirmou o dia 2026-01-14";""
"18/06/2026, 16:25:35";"litoral";"Litoral";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-15";""
"18/06/2026, 16:25:23";"litoral";"Litoral";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-12";""
"18/06/2026, 16:25:20";"litoral";"Litoral";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-11";""
"18/06/2026, 16:25:17";"litoral";"Litoral";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-10";""
"18/06/2026, 16:25:14";"litoral";"Litoral";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-09";""
"18/06/2026, 16:25:11";"litoral";"Litoral";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-08";""
"18/06/2026, 16:25:08";"litoral";"Litoral";"CONFIRMACAO_DIA";"Confirmou o dia 2026-06-05";""
"18/06/2026, 15:09:54";"portoex.admin";"🔑 Administrador";"vaga";"Vaga encerrada: 19/06/2026";""
"18/06/2026, 15:09:48";"portoex.admin";"🔑 Administrador";"vaga";"Vaga encerrada: 19/06/2026";""
"18/06/2026, 13:14:15";"portoex.admin";"🔑 Administrador";"vaga";"Mural publicado: 19/06/2026";""
"18/06/2026, 13:14:00";"portoex.admin";"🔑 Administrador";"vaga";"Mural publicado: 19/06/2026";""
"18/06/2026, 13:07:36";"portoex.admin";"🔑 Administrador";"vaga";"Vaga encerrada: 18/06/2026";""
"18/06/2026, 09:25:15";"portoex.admin";"🔑 Administrador";"login_admin";"Login editado: RAFA";""
"18/06/2026, 09:15:20";"portoex.admin";"🔑 Administrador";"vaga";"Vaga encerrada: 17/06/2026";""
"18/06/2026, 09:15:18";"portoex.admin";"🔑 Administrador";"vaga";"Vaga encerrada: 17/06/2026";""
"18/06/2026, 09:15:16";"portoex.admin";"🔑 Administrador";"vaga";"Vaga encerrada: 17/06/2026";""
